system,image,source,split,capacity,capacity_correct,corner_error,expected_occupied,flavor_correct,false_empty,count_error,exact_counts
candidate_v3,IMG_2028_size30_render00.jpg,IMG_2028.jpg,train,30,True,0.027367897639198908,30,30,0,0,True
candidate_v3,IMG_2028_size30_render01.jpg,IMG_2028.jpg,train,30,True,0.027673551771375867,30,29,0,2,False
candidate_v3,IMG_2028_size30_render02.jpg,IMG_2028.jpg,train,30,True,0.04405850607251364,30,27,0,6,False
candidate_v3,IMG_2029_size30_render00.jpg,IMG_2029.jpg,train,30,True,0.006611041417197576,30,30,0,0,True
candidate_v3,IMG_2029_size30_render01.jpg,IMG_2029.jpg,train,30,True,0.009959086917695545,30,30,0,0,True
candidate_v3,IMG_2029_size30_render02.jpg,IMG_2029.jpg,train,30,True,0.012940131293402778,30,30,0,0,True
candidate_v3,IMG_2030_size30_render00.jpg,IMG_2030.jpg,validation,30,True,0.05819908020988343,30,9,1,15,False
candidate_v3,IMG_2030_size30_render01.jpg,IMG_2030.jpg,validation,30,True,0.06692311725919209,30,7,0,18,False
candidate_v3,IMG_2030_size30_render02.jpg,IMG_2030.jpg,validation,30,True,0.04153791760641431,30,9,0,14,False
candidate_v3,IMG_2031_size50_render00.jpg,IMG_2031.jpg,train,50,True,0.014020677596803695,50,50,0,0,True
candidate_v3,IMG_2031_size50_render01.jpg,IMG_2031.jpg,train,50,True,0.010935508637201219,50,50,0,0,True
candidate_v3,IMG_2031_size50_render02.jpg,IMG_2031.jpg,train,50,True,0.018881053016299294,50,50,0,0,True
candidate_v3,IMG_2032_size50_render00.jpg,IMG_2032.jpg,train,50,True,0.016627002897716705,50,50,0,0,True
candidate_v3,IMG_2032_size50_render01.jpg,IMG_2032.jpg,train,50,True,0.01363380825708783,50,50,0,0,True
candidate_v3,IMG_2032_size50_render02.jpg,IMG_2032.jpg,train,50,True,0.022284153529575895,50,48,0,4,False
candidate_v3,IMG_2033_size50_render00.jpg,IMG_2033.jpg,train,50,True,0.01409596639966208,50,50,0,0,True
candidate_v3,IMG_2033_size50_render01.jpg,IMG_2033.jpg,train,50,True,0.01717493117801727,50,50,0,0,True
candidate_v3,IMG_2033_size50_render02.jpg,IMG_2033.jpg,train,50,True,0.01241531523447188,50,50,0,0,True
candidate_v3,IMG_2034_size50_render00.jpg,IMG_2034.jpg,validation,50,True,0.03211262415325831,50,21,0,22,False
candidate_v3,IMG_2034_size50_render01.jpg,IMG_2034.jpg,validation,50,True,0.037167164636036705,50,8,0,14,False
candidate_v3,IMG_2034_size50_render02.jpg,IMG_2034.jpg,validation,50,True,0.020175591726151725,50,46,0,6,False
